ALLlabels,ALLnames
1,GoodImg/Bmp/Sample001/img001-00052'
1,GoodImg/Bmp/Sample001/img001-00053'
1,GoodImg/Bmp/Sample001/img001-00054'
1,GoodImg/Bmp/Sample001/img001-00055'
1,GoodImg/Bmp/Sample001/img001-00056'
1,GoodImg/Bmp/Sample001/img001-00057'
1,GoodImg/Bmp/Sample001/img001-00058'
1,GoodImg/Bmp/Sample001/img001-00059'
1,GoodImg/Bmp/Sample001/img001-00060'
1,GoodImg/Bmp/Sample001/img001-00061'
1,GoodImg/Bmp/Sample001/img001-00062'
1,GoodImg/Bmp/Sample001/img001-00063'
1,GoodImg/Bmp/Sample001/img001-00064'
1,GoodImg/Bmp/Sample001/img001-00065'
1,GoodImg/Bmp/Sample001/img001-00066'
1,GoodImg/Bmp/Sample001/img001-00067'
1,GoodImg/Bmp/Sample001/img001-00068'
1,GoodImg/Bmp/Sample001/img001-00069'
1,GoodImg/Bmp/Sample001/img001-00070'
1,GoodImg/Bmp/Sample001/img001-00071'
1,GoodImg/Bmp/Sample001/img001-00072'
1,GoodImg/Bmp/Sample001/img001-00073'
1,GoodImg/Bmp/Sample001/img001-00074'
1,GoodImg/Bmp/Sample001/img001-00075'
1,GoodImg/Bmp/Sample001/img001-00076'
1,GoodImg/Bmp/Sample001/img001-00077'
1,GoodImg/Bmp/Sample001/img001-00078'
1,GoodImg/Bmp/Sample001/img001-00079'
1,GoodImg/Bmp/Sample001/img001-00080'
1,GoodImg/Bmp/Sample001/img001-00081'
1,GoodImg/Bmp/Sample001/img001-00082'
1,GoodImg/Bmp/Sample001/img001-00083'
1,GoodImg/Bmp/Sample001/img001-00084'
1,GoodImg/Bmp/Sample001/img001-00085'
1,GoodImg/Bmp/Sample001/img001-00086'
1,GoodImg/Bmp/Sample001/img001-00087'
1,GoodImg/Bmp/Sample001/img001-00088'
1,GoodImg/Bmp/Sample001/img001-00089'
1,GoodImg/Bmp/Sample001/img001-00090'
1,GoodImg/Bmp/Sample001/img001-00091'
1,GoodImg/Bmp/Sample001/img001-00092'
1,GoodImg/Bmp/Sample001/img001-00093'
1,GoodImg/Bmp/Sample001/img001-00094'
1,GoodImg/Bmp/Sample001/img001-00095'
1,GoodImg/Bmp/Sample001/img001-00096'
1,GoodImg/Bmp/Sample001/img001-00097'
1,GoodImg/Bmp/Sample001/img001-00098'
1,GoodImg/Bmp/Sample001/img001-00099'
1,GoodImg/Bmp/Sample001/img001-00100'
1,GoodImg/Bmp/Sample001/img001-00101'
1,GoodImg/Bmp/Sample001/img001-00102'
1,GoodImg/Bmp/Sample001/img001-00103'
1,GoodImg/Bmp/Sample001/img001-00104'
1,GoodImg/Bmp/Sample001/img001-00105'
2,GoodImg/Bmp/Sample002/img002-00001'
2,GoodImg/Bmp/Sample002/img002-00002'
2,GoodImg/Bmp/Sample002/img002-00003'
2,GoodImg/Bmp/Sample002/img002-00004'
2,GoodImg/Bmp/Sample002/img002-00005'
2,GoodImg/Bmp/Sample002/img002-00006'
2,GoodImg/Bmp/Sample002/img002-00007'
2,GoodImg/Bmp/Sample002/img002-00008'
2,GoodImg/Bmp/Sample002/img002-00009'
2,GoodImg/Bmp/Sample002/img002-00010'
2,GoodImg/Bmp/Sample002/img002-00011'
2,GoodImg/Bmp/Sample002/img002-00012'
2,GoodImg/Bmp/Sample002/img002-00013'
2,GoodImg/Bmp/Sample002/img002-00014'
2,GoodImg/Bmp/Sample002/img002-00015'
2,GoodImg/Bmp/Sample002/img002-00016'
2,GoodImg/Bmp/Sample002/img002-00017'
2,GoodImg/Bmp/Sample002/img002-00018'
2,GoodImg/Bmp/Sample002/img002-00019'
2,GoodImg/Bmp/Sample002/img002-00020'
2,GoodImg/Bmp/Sample002/img002-00021'
2,GoodImg/Bmp/Sample002/img002-00022'
2,GoodImg/Bmp/Sample002/img002-00023'
2,GoodImg/Bmp/Sample002/img002-00024'
2,GoodImg/Bmp/Sample002/img002-00025'
2,GoodImg/Bmp/Sample002/img002-00026'
2,GoodImg/Bmp/Sample002/img002-00027'
2,GoodImg/Bmp/Sample002/img002-00028'
2,GoodImg/Bmp/Sample002/img002-00029'
2,GoodImg/Bmp/Sample002/img002-00030'
2,GoodImg/Bmp/Sample002/img002-00031'
2,GoodImg/Bmp/Sample002/img002-00032'
2,GoodImg/Bmp/Sample002/img002-00033'
2,GoodImg/Bmp/Sample002/img002-00034'
2,GoodImg/Bmp/Sample002/img002-00035'
2,GoodImg/Bmp/Sample002/img002-00036'
2,GoodImg/Bmp/Sample002/img002-00037'
2,GoodImg/Bmp/Sample002/img002-00038'
2,GoodImg/Bmp/Sample002/img002-00039'
2,GoodImg/Bmp/Sample002/img002-00040'
2,GoodImg/Bmp/Sample002/img002-00041'
2,GoodImg/Bmp/Sample002/img002-00042'
2,GoodImg/Bmp/Sample002/img002-00043'
2,GoodImg/Bmp/Sample002/img002-00044'
2,GoodImg/Bmp/Sample002/img002-00045'
2,GoodImg/Bmp/Sample002/img002-00046'
2,GoodImg/Bmp/Sample002/img002-00047'
2,GoodImg/Bmp/Sample002/img002-00048'
2,GoodImg/Bmp/Sample002/img002-00049'
2,GoodImg/Bmp/Sample002/img002-00050'
2,GoodImg/Bmp/Sample002/img002-00051'
2,GoodImg/Bmp/Sample002/img002-00052'
2,GoodImg/Bmp/Sample002/img002-00053'
2,GoodImg/Bmp/Sample002/img002-00054'
2,GoodImg/Bmp/Sample002/img002-00055'
2,GoodImg/Bmp/Sample002/img002-00056'
2,GoodImg/Bmp/Sample002/img002-00057'
2,GoodImg/Bmp/Sample002/img002-00058'
2,GoodImg/Bmp/Sample002/img002-00059'
2,GoodImg/Bmp/Sample002/img002-00060'
2,GoodImg/Bmp/Sample002/img002-00061'
2,GoodImg/Bmp/Sample002/img002-00062'
2,GoodImg/Bmp/Sample002/img002-00063'
2,GoodImg/Bmp/Sample002/img002-00064'
2,GoodImg/Bmp/Sample002/img002-00065'
2,GoodImg/Bmp/Sample002/img002-00066'
2,GoodImg/Bmp/Sample002/img002-00067'
2,GoodImg/Bmp/Sample002/img002-00068'
2,GoodImg/Bmp/Sample002/img002-00069'
2,GoodImg/Bmp/Sample002/img002-00070'
2,GoodImg/Bmp/Sample002/img002-00071'
2,GoodImg/Bmp/Sample002/img002-00072'
2,GoodImg/Bmp/Sample002/img002-00073'
2,GoodImg/Bmp/Sample002/img002-00074'
2,GoodImg/Bmp/Sample002/img002-00075'
2,GoodImg/Bmp/Sample002/img002-00076'
2,GoodImg/Bmp/Sample002/img002-00077'
2,GoodImg/Bmp/Sample002/img002-00078'
2,GoodImg/Bmp/Sample002/img002-00079'
3,GoodImg/Bmp/Sample003/img003-00001'
3,GoodImg/Bmp/Sample003/img003-00002'
3,GoodImg/Bmp/Sample003/img003-00003'
3,GoodImg/Bmp/Sample003/img003-00004'
3,GoodImg/Bmp/Sample003/img003-00005'
3,GoodImg/Bmp/Sample003/img003-00006'
3,GoodImg/Bmp/Sample003/img003-00007'
3,GoodImg/Bmp/Sample003/img003-00008'
3,GoodImg/Bmp/Sample003/img003-00009'
3,GoodImg/Bmp/Sample003/img003-00010'
3,GoodImg/Bmp/Sample003/img003-00011'
3,GoodImg/Bmp/Sample003/img003-00012'
3,GoodImg/Bmp/Sample003/img003-00013'
3,GoodImg/Bmp/Sample003/img003-00014'
3,GoodImg/Bmp/Sample003/img003-00015'
3,GoodImg/Bmp/Sample003/img003-00016'
3,GoodImg/Bmp/Sample003/img003-00017'
3,GoodImg/Bmp/Sample003/img003-00018'
3,GoodImg/Bmp/Sample003/img003-00019'
3,GoodImg/Bmp/Sample003/img003-00020'
3,GoodImg/Bmp/Sample003/img003-00021'
3,GoodImg/Bmp/Sample003/img003-00022'
3,GoodImg/Bmp/Sample003/img003-00023'
3,GoodImg/Bmp/Sample003/img003-00024'
3,GoodImg/Bmp/Sample003/img003-00025'
3,GoodImg/Bmp/Sample003/img003-00026'
3,GoodImg/Bmp/Sample003/img003-00027'
3,GoodImg/Bmp/Sample003/img003-00028'
3,GoodImg/Bmp/Sample003/img003-00029'
3,GoodImg/Bmp/Sample003/img003-00030'
3,GoodImg/Bmp/Sample003/img003-00031'
3,GoodImg/Bmp/Sample003/img003-00032'
3,GoodImg/Bmp/Sample003/img003-00033'
3,GoodImg/Bmp/Sample003/img003-00034'
3,GoodImg/Bmp/Sample003/img003-00035'
3,GoodImg/Bmp/Sample003/img003-00036'
3,GoodImg/Bmp/Sample003/img003-00037'
3,GoodImg/Bmp/Sample003/img003-00038'
3,GoodImg/Bmp/Sample003/img003-00039'
3,GoodImg/Bmp/Sample003/img003-00040'
3,GoodImg/Bmp/Sample003/img003-00041'
3,GoodImg/Bmp/Sample003/img003-00042'
3,GoodImg/Bmp/Sample003/img003-00043'
3,GoodImg/Bmp/Sample003/img003-00044'
3,GoodImg/Bmp/Sample003/img003-00045'
3,GoodImg/Bmp/Sample003/img003-00046'
3,GoodImg/Bmp/Sample003/img003-00047'
3,GoodImg/Bmp/Sample003/img003-00048'
3,GoodImg/Bmp/Sample003/img003-00049'
3,GoodImg/Bmp/Sample003/img003-00050'
3,GoodImg/Bmp/Sample003/img003-00051'
3,GoodImg/Bmp/Sample003/img003-00052'
3,GoodImg/Bmp/Sample003/img003-00053'
3,GoodImg/Bmp/Sample003/img003-00054'
3,GoodImg/Bmp/Sample003/img003-00055'
3,GoodImg/Bmp/Sample003/img003-00056'
3,GoodImg/Bmp/Sample003/img003-00057'
3,GoodImg/Bmp/Sample003/img003-00058'
3,GoodImg/Bmp/Sample003/img003-00059'
3,GoodImg/Bmp/Sample003/img003-00060'
3,GoodImg/Bmp/Sample003/img003-00061'
3,GoodImg/Bmp/Sample003/img003-00062'
3,GoodImg/Bmp/Sample003/img003-00063'
3,GoodImg/Bmp/Sample003/img003-00064'
3,GoodImg/Bmp/Sample003/img003-00065'
3,GoodImg/Bmp/Sample003/img003-00066'
3,GoodImg/Bmp/Sample003/img003-00067'
3,GoodImg/Bmp/Sample003/img003-00068'
3,GoodImg/Bmp/Sample003/img003-00069'
3,GoodImg/Bmp/Sample003/img003-00070'
4,GoodImg/Bmp/Sample004/img004-00001'
4,GoodImg/Bmp/Sample004/img004-00002'
4,GoodImg/Bmp/Sample004/img004-00003'
4,GoodImg/Bmp/Sample004/img004-00004'
4,GoodImg/Bmp/Sample004/img004-00005'
4,GoodImg/Bmp/Sample004/img004-00006'
4,GoodImg/Bmp/Sample004/img004-00007'
4,GoodImg/Bmp/Sample004/img004-00008'
4,GoodImg/Bmp/Sample004/img004-00009'
4,GoodImg/Bmp/Sample004/img004-00010'
4,GoodImg/Bmp/Sample004/img004-00011'
4,GoodImg/Bmp/Sample004/img004-00012'
4,GoodImg/Bmp/Sample004/img004-00013'
4,GoodImg/Bmp/Sample004/img004-00014'
4,GoodImg/Bmp/Sample004/img004-00015'
4,GoodImg/Bmp/Sample004/img004-00016'
4,GoodImg/Bmp/Sample004/img004-00017'
4,GoodImg/Bmp/Sample004/img004-00018'
4,GoodImg/Bmp/Sample004/img004-00019'
4,GoodImg/Bmp/Sample004/img004-00020'
4,GoodImg/Bmp/Sample004/img004-00021'
4,GoodImg/Bmp/Sample004/img004-00022'
4,GoodImg/Bmp/Sample004/img004-00023'
4,GoodImg/Bmp/Sample004/img004-00024'
4,GoodImg/Bmp/Sample004/img004-00025'
4,GoodImg/Bmp/Sample004/img004-00026'
4,GoodImg/Bmp/Sample004/img004-00027'
4,GoodImg/Bmp/Sample004/img004-00028'
4,GoodImg/Bmp/Sample004/img004-00029'
4,GoodImg/Bmp/Sample004/img004-00030'
4,GoodImg/Bmp/Sample004/img004-00031'
4,GoodImg/Bmp/Sample004/img004-00032'
4,GoodImg/Bmp/Sample004/img004-00033'
4,GoodImg/Bmp/Sample004/img004-00034'
4,GoodImg/Bmp/Sample004/img004-00035'
4,GoodImg/Bmp/Sample004/img004-00036'
4,GoodImg/Bmp/Sample004/img004-00037'
4,GoodImg/Bmp/Sample004/img004-00038'
4,GoodImg/Bmp/Sample004/img004-00039'
4,GoodImg/Bmp/Sample004/img004-00040'
4,GoodImg/Bmp/Sample004/img004-00041'
4,GoodImg/Bmp/Sample004/img004-00042'
4,GoodImg/Bmp/Sample004/img004-00043'
4,GoodImg/Bmp/Sample004/img004-00044'
4,GoodImg/Bmp/Sample004/img004-00045'
4,GoodImg/Bmp/Sample004/img004-00046'
4,GoodImg/Bmp/Sample004/img004-00047'
4,GoodImg/Bmp/Sample004/img004-00048'
4,GoodImg/Bmp/Sample004/img004-00049'
4,GoodImg/Bmp/Sample004/img004-00050'
5,GoodImg/Bmp/Sample005/img005-00001'
5,GoodImg/Bmp/Sample005/img005-00002'
5,GoodImg/Bmp/Sample005/img005-00003'
5,GoodImg/Bmp/Sample005/img005-00004'
5,GoodImg/Bmp/Sample005/img005-00005'
5,GoodImg/Bmp/Sample005/img005-00006'
5,GoodImg/Bmp/Sample005/img005-00007'
5,GoodImg/Bmp/Sample005/img005-00008'
5,GoodImg/Bmp/Sample005/img005-00009'
5,GoodImg/Bmp/Sample005/img005-00010'
5,GoodImg/Bmp/Sample005/img005-00011'
5,GoodImg/Bmp/Sample005/img005-00012'
5,GoodImg/Bmp/Sample005/img005-00013'
5,GoodImg/Bmp/Sample005/img005-00014'
5,GoodImg/Bmp/Sample005/img005-00015'
5,GoodImg/Bmp/Sample005/img005-00016'
5,GoodImg/Bmp/Sample005/img005-00017'
5,GoodImg/Bmp/Sample005/img005-00018'
5,GoodImg/Bmp/Sample005/img005-00019'
5,GoodImg/Bmp/Sample005/img005-00020'
5,GoodImg/Bmp/Sample005/img005-00021'
5,GoodImg/Bmp/Sample005/img005-00022'
5,GoodImg/Bmp/Sample005/img005-00023'
5,GoodImg/Bmp/Sample005/img005-00024'
5,GoodImg/Bmp/Sample005/img005-00025'
5,GoodImg/Bmp/Sample005/img005-00026'
5,GoodImg/Bmp/Sample005/img005-00027'
5,GoodImg/Bmp/Sample005/img005-00028'
5,GoodImg/Bmp/Sample005/img005-00029'
5,GoodImg/Bmp/Sample005/img005-00030'
5,GoodImg/Bmp/Sample005/img005-00031'
5,GoodImg/Bmp/Sample005/img005-00032'
5,GoodImg/Bmp/Sample005/img005-00033'
5,GoodImg/Bmp/Sample005/img005-00034'
5,GoodImg/Bmp/Sample005/img005-00035'
5,GoodImg/Bmp/Sample005/img005-00036'
5,GoodImg/Bmp/Sample005/img005-00037'
5,GoodImg/Bmp/Sample005/img005-00038'
5,GoodImg/Bmp/Sample005/img005-00039'
5,GoodImg/Bmp/Sample005/img005-00040'
5,GoodImg/Bmp/Sample005/img005-00041'
5,GoodImg/Bmp/Sample005/img005-00042'
5,GoodImg/Bmp/Sample005/img005-00043'
5,GoodImg/Bmp/Sample005/img005-00044'
5,GoodImg/Bmp/Sample005/img005-00045'
5,GoodImg/Bmp/Sample005/img005-00046'
5,GoodImg/Bmp/Sample005/img005-00047'
6,GoodImg/Bmp/Sample006/img006-00001'
6,GoodImg/Bmp/Sample006/img006-00002'
6,GoodImg/Bmp/Sample006/img006-00003'
6,GoodImg/Bmp/Sample006/img006-00004'
6,GoodImg/Bmp/Sample006/img006-00005'
6,GoodImg/Bmp/Sample006/img006-00006'
6,GoodImg/Bmp/Sample006/img006-00007'
6,GoodImg/Bmp/Sample006/img006-00008'
6,GoodImg/Bmp/Sample006/img006-00009'
6,GoodImg/Bmp/Sample006/img006-00010'
6,GoodImg/Bmp/Sample006/img006-00011'
6,GoodImg/Bmp/Sample006/img006-00012'
6,GoodImg/Bmp/Sample006/img006-00013'
6,GoodImg/Bmp/Sample006/img006-00014'
6,GoodImg/Bmp/Sample006/img006-00015'
6,GoodImg/Bmp/Sample006/img006-00016'
6,GoodImg/Bmp/Sample006/img006-00017'
6,GoodImg/Bmp/Sample006/img006-00018'
6,GoodImg/Bmp/Sample006/img006-00019'
6,GoodImg/Bmp/Sample006/img006-00020'
6,GoodImg/Bmp/Sample006/img006-00021'
6,GoodImg/Bmp/Sample006/img006-00022'
6,GoodImg/Bmp/Sample006/img006-00023'
6,GoodImg/Bmp/Sample006/img006-00024'
6,GoodImg/Bmp/Sample006/img006-00025'
6,GoodImg/Bmp/Sample006/img006-00026'
6,GoodImg/Bmp/Sample006/img006-00027'
6,GoodImg/Bmp/Sample006/img006-00028'
6,GoodImg/Bmp/Sample006/img006-00029'
6,GoodImg/Bmp/Sample006/img006-00030'
6,GoodImg/Bmp/Sample006/img006-00031'
6,GoodImg/Bmp/Sample006/img006-00032'
6,GoodImg/Bmp/Sample006/img006-00033'
6,GoodImg/Bmp/Sample006/img006-00034'
6,GoodImg/Bmp/Sample006/img006-00035'
6,GoodImg/Bmp/Sample006/img006-00036'
6,GoodImg/Bmp/Sample006/img006-00037'
6,GoodImg/Bmp/Sample006/img006-00038'
6,GoodImg/Bmp/Sample006/img006-00039'
6,GoodImg/Bmp/Sample006/img006-00040'
6,GoodImg/Bmp/Sample006/img006-00041'
6,GoodImg/Bmp/Sample006/img006-00042'
6,GoodImg/Bmp/Sample006/img006-00043'
6,GoodImg/Bmp/Sample006/img006-00044'
6,GoodImg/Bmp/Sample006/img006-00045'
6,GoodImg/Bmp/Sample006/img006-00046'
6,GoodImg/Bmp/Sample006/img006-00047'
6,GoodImg/Bmp/Sample006/img006-00048'
6,GoodImg/Bmp/Sample006/img006-00049'
6,GoodImg/Bmp/Sample006/img006-00050'
6,GoodImg/Bmp/Sample006/img006-00051'
6,GoodImg/Bmp/Sample006/img006-00052'
6,GoodImg/Bmp/Sample006/img006-00053'
6,GoodImg/Bmp/Sample006/img006-00054'
6,GoodImg/Bmp/Sample006/img006-00055'
6,GoodImg/Bmp/Sample006/img006-00056'
6,GoodImg/Bmp/Sample006/img006-00057'
6,GoodImg/Bmp/Sample006/img006-00058'
6,GoodImg/Bmp/Sample006/img006-00059'
6,GoodImg/Bmp/Sample006/img006-00060'
6,GoodImg/Bmp/Sample006/img006-00061'
6,GoodImg/Bmp/Sample006/img006-00062'
6,GoodImg/Bmp/Sample006/img006-00063'
6,GoodImg/Bmp/Sample006/img006-00064'
7,GoodImg/Bmp/Sample007/img007-00001'
7,GoodImg/Bmp/Sample007/img007-00002'
7,GoodImg/Bmp/Sample007/img007-00003'
7,GoodImg/Bmp/Sample007/img007-00004'
7,GoodImg/Bmp/Sample007/img007-00005'
7,GoodImg/Bmp/Sample007/img007-00006'
7,GoodImg/Bmp/Sample007/img007-00007'
7,GoodImg/Bmp/Sample007/img007-00008'
7,GoodImg/Bmp/Sample007/img007-00009'
7,GoodImg/Bmp/Sample007/img007-00010'
7,GoodImg/Bmp/Sample007/img007-00011'
7,GoodImg/Bmp/Sample007/img007-00012'
7,GoodImg/Bmp/Sample007/img007-00013'
7,GoodImg/Bmp/Sample007/img007-00014'
7,GoodImg/Bmp/Sample007/img007-00015'
7,GoodImg/Bmp/Sample007/img007-00016'
7,GoodImg/Bmp/Sample007/img007-00017'
7,GoodImg/Bmp/Sample007/img007-00018'
7,GoodImg/Bmp/Sample007/img007-00019'
7,GoodImg/Bmp/Sample007/img007-00020'
7,GoodImg/Bmp/Sample007/img007-00021'
7,GoodImg/Bmp/Sample007/img007-00022'
7,GoodImg/Bmp/Sample007/img007-00023'
7,GoodImg/Bmp/Sample007/img007-00024'
7,GoodImg/Bmp/Sample007/img007-00025'
7,GoodImg/Bmp/Sample007/img007-00026'
7,GoodImg/Bmp/Sample007/img007-00027'
7,GoodImg/Bmp/Sample007/img007-00028'
7,GoodImg/Bmp/Sample007/img007-00029'
7,GoodImg/Bmp/Sample007/img007-00030'
7,GoodImg/Bmp/Sample007/img007-00031'
7,GoodImg/Bmp/Sample007/img007-00032'
7,GoodImg/Bmp/Sample007/img007-00033'
7,GoodImg/Bmp/Sample007/img007-00034'
7,GoodImg/Bmp/Sample007/img007-00035'
7,GoodImg/Bmp/Sample007/img007-00036'
7,GoodImg/Bmp/Sample007/img007-00037'
7,GoodImg/Bmp/Sample007/img007-00038'
7,GoodImg/Bmp/Sample007/img007-00039'
7,GoodImg/Bmp/Sample007/img007-00040'
7,GoodImg/Bmp/Sample007/img007-00041'
7,GoodImg/Bmp/Sample007/img007-00042'
7,GoodImg/Bmp/Sample007/img007-00043'
7,GoodImg/Bmp/Sample007/img007-00044'
7,GoodImg/Bmp/Sample007/img007-00045'
7,GoodImg/Bmp/Sample007/img007-00046'
7,GoodImg/Bmp/Sample007/img007-00047'
7,GoodImg/Bmp/Sample007/img007-00048'
7,GoodImg/Bmp/Sample007/img007-00049'
7,GoodImg/Bmp/Sample007/img007-00050'
7,GoodImg/Bmp/Sample007/img007-00051'
7,GoodImg/Bmp/Sample007/img007-00052'
7,GoodImg/Bmp/Sample007/img007-00053'
7,GoodImg/Bmp/Sample007/img007-00054'
7,GoodImg/Bmp/Sample007/img007-00055'
7,GoodImg/Bmp/Sample007/img007-00056'
7,GoodImg/Bmp/Sample007/img007-00057'
7,GoodImg/Bmp/Sample007/img007-00058'
7,GoodImg/Bmp/Sample007/img007-00059'
7,GoodImg/Bmp/Sample007/img007-00060'
7,GoodImg/Bmp/Sample007/img007-00061'
7,GoodImg/Bmp/Sample007/img007-00062'
7,GoodImg/Bmp/Sample007/img007-00063'
7,GoodImg/Bmp/Sample007/img007-00064'
8,GoodImg/Bmp/Sample008/img008-00001'
8,GoodImg/Bmp/Sample008/img008-00002'
8,GoodImg/Bmp/Sample008/img008-00003'
8,GoodImg/Bmp/Sample008/img008-00004'
8,GoodImg/Bmp/Sample008/img008-00005'
8,GoodImg/Bmp/Sample008/img008-00006'
8,GoodImg/Bmp/Sample008/img008-00007'
8,GoodImg/Bmp/Sample008/img008-00008'
8,GoodImg/Bmp/Sample008/img008-00009'
8,GoodImg/Bmp/Sample008/img008-00010'
8,GoodImg/Bmp/Sample008/img008-00011'
8,GoodImg/Bmp/Sample008/img008-00012'
8,GoodImg/Bmp/Sample008/img008-00013'
8,GoodImg/Bmp/Sample008/img008-00014'
8,GoodImg/Bmp/Sample008/img008-00015'
8,GoodImg/Bmp/Sample008/img008-00016'
8,GoodImg/Bmp/Sample008/img008-00017'
8,GoodImg/Bmp/Sample008/img008-00018'
8,GoodImg/Bmp/Sample008/img008-00019'
8,GoodImg/Bmp/Sample008/img008-00020'
8,GoodImg/Bmp/Sample008/img008-00021'
8,GoodImg/Bmp/Sample008/img008-00022'
8,GoodImg/Bmp/Sample008/img008-00023'
8,GoodImg/Bmp/Sample008/img008-00024'
8,GoodImg/Bmp/Sample008/img008-00025'
8,GoodImg/Bmp/Sample008/img008-00026'
8,GoodImg/Bmp/Sample008/img008-00027'
8,GoodImg/Bmp/Sample008/img008-00028'
8,GoodImg/Bmp/Sample008/img008-00029'
8,GoodImg/Bmp/Sample008/img008-00030'
8,GoodImg/Bmp/Sample008/img008-00031'
8,GoodImg/Bmp/Sample008/img008-00032'
8,GoodImg/Bmp/Sample008/img008-00033'
8,GoodImg/Bmp/Sample008/img008-00034'
8,GoodImg/Bmp/Sample008/img008-00035'
8,GoodImg/Bmp/Sample008/img008-00036'
8,GoodImg/Bmp/Sample008/img008-00037'
8,GoodImg/Bmp/Sample008/img008-00038'
8,GoodImg/Bmp/Sample008/img008-00039'
8,GoodImg/Bmp/Sample008/img008-00040'
8,GoodImg/Bmp/Sample008/img008-00041'
8,GoodImg/Bmp/Sample008/img008-00042'
8,GoodImg/Bmp/Sample008/img008-00043'
8,GoodImg/Bmp/Sample008/img008-00044'
8,GoodImg/Bmp/Sample008/img008-00045'
8,GoodImg/Bmp/Sample008/img008-00046'
8,GoodImg/Bmp/Sample008/img008-00047'
8,GoodImg/Bmp/Sample008/img008-00048'
9,GoodImg/Bmp/Sample009/img009-00001'
9,GoodImg/Bmp/Sample009/img009-00002'
9,GoodImg/Bmp/Sample009/img009-00003'
9,GoodImg/Bmp/Sample009/img009-00004'
9,GoodImg/Bmp/Sample009/img009-00005'
9,GoodImg/Bmp/Sample009/img009-00006'
9,GoodImg/Bmp/Sample009/img009-00007'
9,GoodImg/Bmp/Sample009/img009-00008'
9,GoodImg/Bmp/Sample009/img009-00009'
9,GoodImg/Bmp/Sample009/img009-00010'
9,GoodImg/Bmp/Sample009/img009-00011'
9,GoodImg/Bmp/Sample009/img009-00012'
9,GoodImg/Bmp/Sample009/img009-00013'
9,GoodImg/Bmp/Sample009/img009-00014'
9,GoodImg/Bmp/Sample009/img009-00015'
9,GoodImg/Bmp/Sample009/img009-00016'
9,GoodImg/Bmp/Sample009/img009-00017'
9,GoodImg/Bmp/Sample009/img009-00018'
9,GoodImg/Bmp/Sample009/img009-00019'
9,GoodImg/Bmp/Sample009/img009-00020'
9,GoodImg/Bmp/Sample009/img009-00021'
9,GoodImg/Bmp/Sample009/img009-00022'
9,GoodImg/Bmp/Sample009/img009-00023'
9,GoodImg/Bmp/Sample009/img009-00024'
9,GoodImg/Bmp/Sample009/img009-00025'
9,GoodImg/Bmp/Sample009/img009-00026'
9,GoodImg/Bmp/Sample009/img009-00027'
9,GoodImg/Bmp/Sample009/img009-00028'
9,GoodImg/Bmp/Sample009/img009-00029'
9,GoodImg/Bmp/Sample009/img009-00030'
9,GoodImg/Bmp/Sample009/img009-00031'
